[2026-04-16T00:52:17.112Z] GET https://faithfulkids.app/blog → 307 (100ms, ?B)
[2026-04-16T00:52:17.213Z] GET https://www.faithfulkids.app/blog → 200 (84ms, 349497B)
[2026-04-16T00:52:17.302Z] GET https://www.faithfulkids.app/logo-sm.png → 200 (25ms, 16896B)
[2026-04-16T00:52:17.302Z] GET https://www.faithfulkids.app/_next/static/css/ae534096a26294ca.css → 200 (23ms, 35019B)
[2026-04-16T00:52:17.302Z] GET https://www.faithfulkids.app/_next/static/chunks/webpack-baf8e268537a80b3.js → 200 (236ms, 3863B)
[2026-04-16T00:52:17.302Z] GET https://www.faithfulkids.app/_next/static/chunks/4bd1b696-c023c6e3521b1417.js → 200 (393ms, 173019B)
[2026-04-16T00:52:17.302Z] GET https://www.faithfulkids.app/_next/static/chunks/255-38b49df12a94ee57.js → pending (?ms, ?B)
[2026-04-16T00:52:17.302Z] GET https://www.faithfulkids.app/_next/static/chunks/main-app-f9b5d20365cb8be2.js → 200 (237ms, 557B)
[2026-04-16T00:52:17.302Z] GET https://www.faithfulkids.app/_next/static/chunks/9da6db1e-465fe1221bc035b7.js → 200 (363ms, 174589B)
[2026-04-16T00:52:17.302Z] GET https://www.faithfulkids.app/_next/static/chunks/app/layout-98ca3bf77453317c.js → 200 (121ms, 663B)
[2026-04-16T00:52:17.302Z] GET https://www.faithfulkids.app/_next/static/chunks/app/blog/page-b3ba9700f4bfa5f3.js → 200 (69ms, 2426B)
[2026-04-16T00:52:17.370Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/an-angel-visits-mary-for-kids-hero.webp → 200 (307ms, ?B)
[2026-04-16T00:52:17.370Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/joseph-and-the-angel-for-kids-hero.webp → pending (?ms, ?B)
[2026-04-16T00:52:17.370Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/the-journey-to-bethlehem-for-kids-hero.webp → pending (?ms, ?B)
[2026-04-16T00:52:17.370Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/born-in-a-manger-for-kids-hero.webp → pending (?ms, ?B)
[2026-04-16T00:52:17.370Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/the-shepherds-for-kids-hero.webp → pending (?ms, ?B)
[2026-04-16T00:52:17.370Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/the-wise-men-for-kids-hero.webp → pending (?ms, ?B)
[2026-04-16T00:52:17.370Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/escape-to-egypt-for-kids-hero.webp → pending (?ms, ?B)
[2026-04-16T00:52:17.370Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/young-jesus-in-the-temple-for-kids-hero.webp → pending (?ms, ?B)
[2026-04-16T00:52:17.370Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/john-the-baptist-for-kids-hero.webp → pending (?ms, ?B)
[2026-04-16T00:52:17.370Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/the-baptism-of-jesus-for-kids-hero.webp → pending (?ms, ?B)
[2026-04-16T00:52:17.370Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/the-church-is-born-for-kids-hero.webp → pending (?ms, ?B)
[2026-04-16T00:52:17.370Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/peter-heals-the-lame-man-for-kids-hero.webp → pending (?ms, ?B)
[2026-04-16T00:52:20.889Z] GET https://us-assets.i.posthog.com/array/phc_oqFs36zWarmLYs7nrSrX8KXCcCgStDFK6mtV9C7bCWe2/config.js → 200 (64ms, 1230B)
[2026-04-16T00:52:20.955Z] GET https://us-assets.i.posthog.com/static/surveys.js?v=1.364.6 → 200 (29ms, 90040B)
[2026-04-16T00:52:20.955Z] GET https://us-assets.i.posthog.com/static/dead-clicks-autocapture.js?v=1.364.6 → 200 (108ms, 13086B)
[2026-04-16T00:52:20.955Z] GET https://us-assets.i.posthog.com/static/web-vitals.js?v=1.364.6 → 200 (32ms, 6393B)
[2026-04-16T00:53:02.271Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/easter-bible-stories-for-kids-hero.webp → 200 (318ms, ?B)
[2026-04-16T00:53:02.271Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/how-to-reduce-screen-time-for-kids-hero.webp → 200 (326ms, ?B)
[2026-04-16T00:53:02.271Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/how-to-teach-kids-the-bible-hero.webp → 200 (317ms, ?B)
[2026-04-16T00:53:02.271Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/is-screen-time-bad-for-kids-hero.webp → 200 (303ms, 291476B)
[2026-04-16T00:53:02.271Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/minno-vs-faithful-kids-hero.webp → 200 (314ms, ?B)
[2026-04-16T00:53:02.271Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/what-does-the-bible-teach-kids-hero.webp → 200 (318ms, ?B)
[2026-04-16T00:55:32.440Z] GET https://faithfulkids.app/blog → 307 (26ms, ?B)
[2026-04-16T00:55:32.466Z] GET https://www.faithfulkids.app/blog → 200 (44ms, 349497B)
[2026-04-16T00:55:32.538Z] GET https://www.faithfulkids.app/logo-sm.png → 304 (31ms, ?B)
[2026-04-16T00:55:32.538Z] GET https://www.faithfulkids.app/_next/static/css/ae534096a26294ca.css → 200 (?ms, 35019B)
[2026-04-16T00:55:32.539Z] GET https://www.faithfulkids.app/_next/static/chunks/webpack-baf8e268537a80b3.js → 200 (?ms, 3863B)
[2026-04-16T00:55:32.539Z] GET https://www.faithfulkids.app/_next/static/chunks/4bd1b696-c023c6e3521b1417.js → 200 (?ms, 173019B)
[2026-04-16T00:55:32.540Z] GET https://www.faithfulkids.app/_next/static/chunks/255-38b49df12a94ee57.js → 200 (?ms, 172500B)
[2026-04-16T00:55:32.540Z] GET https://www.faithfulkids.app/_next/static/chunks/main-app-f9b5d20365cb8be2.js → 200 (?ms, 557B)
[2026-04-16T00:55:32.540Z] GET https://www.faithfulkids.app/_next/static/chunks/9da6db1e-465fe1221bc035b7.js → 200 (?ms, 174589B)
[2026-04-16T00:55:32.540Z] GET https://www.faithfulkids.app/_next/static/chunks/app/layout-98ca3bf77453317c.js → 200 (?ms, 663B)
[2026-04-16T00:55:32.541Z] GET https://www.faithfulkids.app/_next/static/chunks/app/blog/page-b3ba9700f4bfa5f3.js → 200 (?ms, 2426B)
[2026-04-16T00:55:32.545Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/an-angel-visits-mary-for-kids-hero.webp → 200 (?ms, 398964B)
[2026-04-16T00:55:32.545Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/joseph-and-the-angel-for-kids-hero.webp → 200 (?ms, 333488B)
[2026-04-16T00:55:32.545Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/the-journey-to-bethlehem-for-kids-hero.webp → 200 (?ms, 405966B)
[2026-04-16T00:55:32.546Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/born-in-a-manger-for-kids-hero.webp → 200 (?ms, 391164B)
[2026-04-16T00:55:32.546Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/the-shepherds-for-kids-hero.webp → 200 (?ms, 283034B)
[2026-04-16T00:55:32.546Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/the-wise-men-for-kids-hero.webp → 200 (?ms, 417614B)
[2026-04-16T00:55:32.546Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/escape-to-egypt-for-kids-hero.webp → 200 (?ms, 492186B)
[2026-04-16T00:55:32.547Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/young-jesus-in-the-temple-for-kids-hero.webp → 200 (?ms, 457518B)
[2026-04-16T00:55:32.547Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/john-the-baptist-for-kids-hero.webp → 200 (?ms, 459130B)
[2026-04-16T00:55:32.547Z] GET https://d3g07v1w0lehiv.cloudfront.net/blog-images/the-baptism-of-jesus-for-kids-hero.webp → 200 (?ms, 177078B)
